ensembl_gene_id	entrezgene
W02D9.7	173126
T22C1.5	172566
Y71G12A.4	171759
Y105E8B.8	173325
W02A11.4	NA
F22D6.3	172442
C43E11.2	172027
Y106G6D.2	172875
R119.4	266819
F14B6.6	173105
Y34D9A.2	189587
C37A2.4	172399
W09G3.1	173250
C34B2.4	183192
ZK39.5	191213
T28F4.5	172503
M05B5.7	13180816
W02D3.9	172394
B0207.3	172269
F33E2.5	173129
F41D3.3	185603
T24D1.2	172852
T07D10.2	188227
C34G6.3	183218
W09C5.8	173237
F59A3.2	186575
C26C6.5	172507
Y48G8AL.16	13179322
Y119C1B.8	172054
Y47G6A.15	189995
Y47H10A.2	190007
C17H1.7	182749
B0511.1	172963
K02B12.1	172640
F28B3.9	185044
F55H12.2	259388
F18C12.2	172594
F46A8.3	173018
Y105E8A.4	173300
R12E2.14	172001
T06G6.12	3565468
C48B6.6	172418
T06G6.4	173140
M01G12.6	187383
F55F8.8	186321
C47B2.1	173166
W09C3.3	189311
T23H2.5	266836
F11C3.3	259839
C01A2.2	173208
F57B10.14	266653
F37D6.4	185426
F43G9.8	185717
T23D8.5	175027
T23D8.5	175032
T23D8.5	177522
T23D8.5	178050
T23D8.5	178055
T23D8.5	178066
T23D8.5	179233
T23D8.5	179260
T23D8.5	179264
T23D8.5	179267
T23D8.5	179341
T23D8.5	188792
T23D8.5	191667
T23D8.5	191671
T23D8.5	191677
T23D8.5	191680
Y71F9B.2	171836
F57C9.4	172100
DY3.4	172688
Y71A12B.24	13182889
F15D3.9	6418583
Y71F9AL.2	171863
Y63D3A.2	173275
T08B2.15	13180513
Y106G6E.1	190919
Y51F10.7	171761
D1007.2	183885
ZC581.9	172385
H32K16.2	3565869
Y105E8A.9	173304
F41D3.10	185605
F41D3.10	185610
T20F5.4	171977
ZK849.6	3565063
Y8G1A.2	171943
C49G9.2	6418605
F48C1.9	266832
F32H2.12	6418589
F36H2.2	172749
B0041.11	13180049
Y106G6H.5	172922
F48A9.2	185958
T19B4.5	188582
F22D6.1	172440
Y8G1A.1	189404
K07A1.5	172796
Y110A7A.10	172141
C17E4.1	182724
ZK524.3	172499
Y105E8A.26	173316
F21F3.3	172106
R06A10.3	187634
F27D4.7	3565210
ZK265.9	3565961
F58H10.1	186556
Y71G12B.30	3565302
Y54E10A.17	190261
E01A2.3	171994
K08C9.6	187140
Y71F9AL.13	171853
Y54E10BL.4	171870
K05C4.3	187018
F25H2.5	172939
Y47G6A.26	171931
Y87G2A.18	3564964
F59C6.5	172933
Y71G12B.25	171740
T08G11.5	172703
F46F11.3	185871
C46H11.8	172129
ZK337.4	191284
D1037.2	183905
K09H9.6	171886
F30A10.14	6418588
Y37E3.10	171769
W03G9.7	172121
B0205.14	4363000
C24A11.5	182833
Y20F4.8	3565842
F25H5.1	3565712
K10C3.3	192086
C35E7.7	183244
C35E7.5	172989
C55C2.5	171814
Y48G8AL.13	171699
F21F3.2	172107
F15H9.3	184550
C17E4.19	13181455
ZC308.4	172336
Y54E10A.15	171896
R05D7.4	173096
T22H2.5	173053
C32E8.5	171946
K10D3.4	172452
T05E7.5	172308
C34B2.11	172971
Y40B1A.1	189780
M01D7.6	171752
F32A7.4	173356
ZK39.7	191215
R11A5.2	172554
T26E3.7	188925
Y71A12B.17	4927064
C27C7.3	191723
F56F4.9	6418596
F53G12.4	186189
T04D3.3	173200
Y87G2A.20	3565705
C18E3.8	172017
F53G12.11	186190
Y48G1C.2	266817
F10G8.8	172870
F22D6.11	172446
F59A3.1	172206
F39B2.6	173342
F26E4.2	184980
F47B3.5	185888
